tanggal,curah_hujan_mm,durasi_hujan_jam,status_banjir
2022-07-16,12.6,8.0,0
2022-07-17,12.7,13.0,0
2022-07-18,0.9,6.0,0
2022-07-19,3.5,4.0,0
2022-07-20,1.6,4.0,0
2022-07-21,2.0,3.0,0
2022-07-22,10.0,9.0,0
2022-07-23,14.5,11.0,0
2022-07-24,2.8,6.0,0
2022-07-25,10.3,10.0,0
2022-07-26,5.3,7.0,0
2022-07-27,19.6,18.0,0
2022-07-28,17.8,19.0,0
2022-07-29,13.3,13.0,0
2022-07-30,15.7,18.0,0
2022-07-31,25.1,17.0,0
2022-08-01,0.7,4.0,0
2022-08-02,12.6,13.0,0
2022-08-03,4.8,17.0,0
2022-08-04,14.0,14.0,0
2022-08-05,8.0,9.0,0
2022-08-06,5.1,10.0,0
2022-08-07,0.9,5.0,0
2022-08-08,9.2,7.0,0
2022-08-09,11.5,10.0,0
2022-08-10,20.9,14.0,0
2022-08-11,14.2,10.0,0
2022-08-12,2.9,5.0,0
2022-08-13,22.5,10.0,0
2022-08-14,19.6,13.0,0
2022-08-15,5.7,8.0,0
2022-08-16,10.2,8.0,0
2022-08-17,8.0,9.0,0
2022-08-18,6.7,8.0,0
2022-08-19,0.3,2.0,0
2022-08-20,16.5,11.0,0
2022-08-21,4.7,13.0,0
2022-08-22,18.8,10.0,0
2022-08-23,11.8,9.0,0
2022-08-24,14.9,13.0,0
2022-08-25,19.9,17.0,0
2022-08-26,7.5,14.0,0
2022-08-27,11.2,15.0,0
2022-08-28,12.1,15.0,0
2022-08-29,16.9,16.0,0
2022-08-30,23.4,17.0,0
2022-08-31,18.4,14.0,0
2022-09-01,0.6,5.0,0
2022-09-02,6.1,9.0,0
2022-09-03,18.8,13.0,0
2022-09-04,30.3,14.0,0
2022-09-05,30.2,24.0,0
2022-09-06,3.1,7.0,0
2022-09-07,11.1,9.0,0
2022-09-08,23.5,13.0,0
2022-09-09,20.9,17.0,0
2022-09-10,4.0,6.0,0
2022-09-11,18.9,10.0,0
2022-09-12,0.9,3.0,0
2022-09-13,15.0,14.0,0
2022-09-14,13.2,10.0,0
2022-09-15,9.3,10.0,0
2022-09-16,8.1,9.0,0
2022-09-17,4.3,8.0,0
2022-09-18,2.5,5.0,0
2022-09-19,3.0,10.0,0
2022-09-20,5.0,7.0,0
2022-09-21,21.5,16.0,0
2022-09-22,7.8,10.0,0
2022-09-23,3.7,3.0,0
2022-09-24,34.8,16.0,0
2022-09-25,5.8,6.0,0
2022-09-26,6.5,7.0,0
2022-09-27,2.1,5.0,0
2022-09-28,6.5,5.0,0
2022-09-29,21.4,11.0,0
2022-09-30,0.8,6.0,0
2022-10-01,7.2,9.0,0
2022-10-02,8.6,10.0,0
2022-10-03,14.3,13.0,0
2022-10-04,1.7,12.0,0
2022-10-05,12.8,16.0,0
2022-10-06,10.9,14.0,0
2022-10-07,8.1,11.0,0
2022-10-08,2.7,8.0,0
2022-10-09,48.6,20.0,0
2022-10-10,26.6,11.0,0
2022-10-11,13.5,13.0,0
2022-10-12,0.9,9.0,0
2022-10-13,31.7,12.0,0
2022-10-14,8.5,5.0,0
2022-10-15,15.9,14.0,0
2022-10-16,7.1,11.0,0
2022-10-17,12.1,12.0,0
2022-10-18,6.4,7.0,0
2022-10-19,22.5,11.0,0
2022-10-20,2.7,4.0,0
2022-10-21,12.2,10.0,0
2022-10-22,22.2,15.0,0
2022-10-23,1.9,5.0,0
2022-10-24,7.0,12.0,0
2022-10-25,22.4,13.0,0
2022-10-26,15.8,20.0,0
2022-10-27,0.6,2.0,0
2022-10-28,2.1,5.0,0
2022-10-29,0.0,0.0,0
2022-10-30,1.0,5.0,0
2022-10-31,4.0,6.0,0
2022-11-01,4.1,8.0,0
2022-11-02,15.1,16.0,0
2022-11-03,9.8,8.0,0
2022-11-04,23.5,13.0,0
2022-11-05,4.8,11.0,0
2022-11-06,26.3,15.0,0
2022-11-07,2.1,8.0,0
2022-11-08,15.1,14.0,0
2022-11-09,4.0,10.0,0
2022-11-10,9.9,10.0,0
2022-11-11,4.3,4.0,0
2022-11-12,18.7,12.0,0
2022-11-13,13.6,15.0,0
2022-11-14,39.2,18.0,0
2022-11-15,10.7,17.0,0
2022-11-16,1.0,2.0,0
2022-11-17,22.0,9.0,0
2022-11-18,26.7,19.0,0
2022-11-19,0.3,3.0,0
2022-11-20,4.5,8.0,0
2022-11-21,26.7,15.0,0
2022-11-22,8.8,6.0,0
2022-11-23,3.6,6.0,0
2022-11-24,19.1,12.0,0
2022-11-25,3.8,7.0,0
2022-11-26,12.7,15.0,0
2022-11-27,18.5,14.0,0
2022-11-28,2.5,6.0,0
2022-11-29,34.7,15.0,0
2022-11-30,5.8,8.0,0
2022-12-01,10.5,14.0,0
2022-12-02,15.6,14.0,0
2022-12-03,40.7,17.0,0
2022-12-04,0.4,3.0,0
2022-12-05,11.9,12.0,0
2022-12-06,2.2,8.0,0
2022-12-07,10.4,15.0,0
2022-12-08,6.8,12.0,0
2022-12-09,1.3,8.0,0
2022-12-10,1.2,5.0,0
2022-12-11,1.2,3.0,0
2022-12-12,12.4,11.0,0
2022-12-13,19.3,13.0,0
2022-12-14,16.0,18.0,0
2022-12-15,8.4,8.0,0
2022-12-16,32.8,17.0,0
2022-12-17,7.0,17.0,0
2022-12-18,1.5,9.0,0
2022-12-19,8.4,8.0,0
2022-12-20,6.8,9.0,0
2022-12-21,10.2,9.0,0
2022-12-22,16.7,10.0,0
2022-12-23,28.2,22.0,0
2022-12-24,11.9,15.0,0
2022-12-25,0.2,2.0,0
2022-12-26,0.0,0.0,0
2022-12-27,6.2,5.0,0
2022-12-28,0.5,3.0,0
2022-12-29,3.2,7.0,0
2022-12-30,0.4,4.0,0
2022-12-31,0.0,0.0,0
2023-01-01,0.1,1.0,0
2023-01-02,20.3,13.0,0
2023-01-03,7.7,6.0,0
2023-01-04,0.2,1.0,0
2023-01-05,7.0,9.0,0
2023-01-06,10.8,15.0,0
2023-01-07,13.2,8.0,0
2023-01-08,7.6,14.0,0
2023-01-09,12.4,16.0,0
2023-01-10,10.8,13.0,0
2023-01-11,0.6,4.0,0
2023-01-12,6.7,8.0,0
2023-01-13,0.9,3.0,0
2023-01-14,2.1,11.0,0
2023-01-15,5.1,4.0,0
2023-01-16,0.4,3.0,0
2023-01-17,7.2,10.0,0
2023-01-18,15.4,18.0,0
2023-01-19,16.1,16.0,0
2023-01-20,11.3,12.0,0
2023-01-21,6.2,10.0,0
2023-01-22,19.9,11.0,0
2023-01-23,14.2,17.0,0
2023-01-24,13.7,17.0,0
2023-01-25,43.9,23.0,0
2023-01-26,19.1,21.0,0
2023-01-27,18.9,14.0,0
2023-01-28,23.2,15.0,0
2023-01-29,16.1,15.0,0
2023-01-30,10.7,17.0,0
2023-01-31,19.4,15.0,0
2023-02-01,10.4,20.0,0
2023-02-02,12.5,21.0,0
2023-02-03,14.3,15.0,0
2023-02-04,1.3,8.0,0
2023-02-05,13.0,10.0,0
2023-02-06,1.9,6.0,0
2023-02-07,3.4,7.0,0
2023-02-08,0.0,0.0,0
2023-02-09,0.0,0.0,0
2023-02-10,0.7,3.0,0
2023-02-11,11.6,11.0,0
2023-02-12,5.0,10.0,0
2023-02-13,8.1,10.0,0
2023-02-14,2.3,7.0,0
2023-02-15,26.9,13.0,0
2023-02-16,29.3,16.0,0
2023-02-17,22.3,19.0,0
2023-02-18,4.9,9.0,0
2023-02-19,6.8,14.0,0
2023-02-20,14.6,11.0,0
2023-02-21,6.3,9.0,0
